DATE,yield_ust,CPI,Unemployment_Rate,GDP_Growth_Rate,S&P500_Index,VIX_Index,Brent_Oil_Price,Euro_Bond_Yield,Dollar_Index
2019-12-05,1.8,251.58,4.2,-0.07,3527.17,30.02,97.77,2.23,95.42
2019-12-06,1.84,296.81,4,-0.45,3565.2,16.42,63.26,1.06,94.95
2019-12-07,1.83,252.6,5.1,1.77,3963.93,16.6,104.92,2.4,91.25
2019-12-08,1.85,277.06,4,2.49,4409.22,22.1,79.06,1.66,99.18
2019-12-09,1.79,285.45,5.1,1.9,4038.7,33.83,60.01,1.37,104.65
2019-12-10,1.9,293.55,4.3,1.39,3997.81,28.37,90.67,1.66,102.13
2019-12-11,1.82,285.7,4.8,-0.81,3605.47,28.57,62.81,1.53,103.46
2019-12-12,1.89,290.09,3.7,3.36,4156.78,22.24,76.57,2.02,91.62
2019-12-13,1.89,266.97,4.7,2.59,4322.1,26.87,102.42,1.06,109.03
2019-12-14,1.92,290.74,4.4,0.32,3880.42,15.2,63.76,1.21,106.77
2019-12-15,1.92,254.01,4.7,3.41,4275.61,27.72,110.36,2.29,106.1
2019-12-16,1.92,294.74,3.8,1.71,4464.48,33.27,60.23,2.39,106.46
2019-12-17,1.93,277.38,5,1.62,3703.77,27.25,74.81,2.29,108.65
2019-12-18,1.9,290.86,5.2,2.37,4023.33,32.47,104.45,1.34,100.89
2019-12-19,.,272.62,3.9,2.65,3787.14,29.48,78.98,2.06,94.01
2019-12-20,1.9,282.18,3.7,1.95,4292.85,17.41,66.11,1.45,102.34
2019-12-21,1.88,276.32,3.5,-0.42,4077.59,33.05,81.61,1.5,104.86
2019-12-22,1.9,286.58,4.8,0.52,4134.58,16.33,76.22,0.91,104.76
2019-12-23,1.92,254.08,4.7,3.18,4297.91,25.68,110.56,1.68,100.43
2019-12-24,.,253.02,4.6,0.01,3895.97,17.84,78.8,0.87,91.37
2019-12-25,1.88,262.36,4,0.67,4415.09,15.23,107.34,1.16,97.42
2019-12-26,1.8,257.98,4.3,0.94,4033.03,23.44,113.51,2.21,108.42
2019-12-27,1.81,293.59,4.7,0.98,3657.95,20.9,86.03,0.91,101.69
2019-12-28,1.83,260.96,4.5,1.76,4195.9,24.72,114.6,0.64,100.77
2019-12-29,1.87,298.79,5.5,3.24,4293.26,26.54,82.64,0.64,95.38
2019-12-30,1.85,266.84,3.8,0.08,3816.76,15.87,117.84,2.38,97.37
2019-12-31,1.83,259.11,4.9,-0.45,4357.18,17.46,65.36,1.51,107.91
2020-01-01,1.85,289.48,4.3,-0.11,4406.14,26.17,101.22,1.32,103.33
2020-01-02,1.82,282.94,4.4,2.99,3776.9,21.86,89.63,2.12,105.75
2020-01-03,1.79,274.91,4.9,1.91,4483.52,29.58,83.26,2.17,99.09
2020-01-04,1.81,277.77,4.9,0.29,3640.71,28.05,97.96,1.16,102.6
2020-01-05,1.84,285.96,5.5,2.67,3702.02,31.91,102.23,1.89,94.97
2020-01-06,.,261.42,3.8,2.88,3684.22,28.85,60.26,2.04,104.11
2020-01-07,1.78,299.82,3.7,2.81,4393.99,23.6,70.02,1.81,98.55
2020-01-08,1.77,298.74,4.9,3.14,4154.29,28.46,102.78,0.8,98.85
2020-01-09,1.74,282.52,4.7,0.14,3652.1,20.51,99.98,2.25,102.99
2020-01-10,1.7,259.98,4,2.4,3940.32,21.13,117.96,1.58,108.73
2020-01-11,1.61,284.01,3.7,1.07,4115.3,30.78,105.66,1.06,91.28
2020-01-12,1.65,253.61,3.7,2.79,3583.46,23.93,117.05,1.35,106.49
2020-01-13,1.6,251.53,5.3,2.28,4382.42,30.97,102.15,0.58,95.85
2020-01-14,1.57,262.88,3.9,2.49,4303.6,31.45,77.88,0.76,98.88
2020-01-15,1.51,273.13,4.1,1.95,4005.21,32.15,66.32,2.03,90.44
2020-01-16,1.54,293.41,4,-0.2,4467.13,33.33,106.91,0.5,96.02
2020-01-17,1.61,286.36,4.2,1.45,3917.76,23.62,98.65,1.33,100.05
2020-01-18,1.66,287.14,3.6,3.43,4484.11,21.38,62.89,1.55,91.12
2020-01-19,1.65,271.27,4.5,3.22,4167.92,26.64,81.6,0.61,99.82
2020-01-20,1.59,267.3,3.6,-0.81,4134.67,22.42,117.41,2.45,108.54
2020-01-21,1.56,268.55,5.1,-0.26,3665.95,27.02,90.02,0.95,92.11
2020-01-22,1.59,299.38,4,-0.41,4381.93,29.11,85.96,1.11,105.29
2020-01-23,1.62,252.01,4.6,2.27,3927.49,28.77,87.46,1.11,98.19
2020-01-24,1.61,293.35,5.3,2.68,3662.23,22.49,72.53,0.96,103.1
2020-01-25,1.59,278.93,4.8,-0.04,3512.61,18.34,82.12,0.5,95.2
2020-01-26,.,271.93,4.6,1.28,4059.76,23.61,82.19,1.96,93.19
2020-01-27,1.55,286.26,4.1,2.78,4027.4,17.85,63.14,2.43,93.21
